Simulation Total Time;8650524
Total Number of Sensed Events by the WSN;259311
Number of Sensed Events by the WSN per Day
1;1999
2;2947
3;2931
4;2918
5;2845
6;2940
7;2907
8;2936
9;2913
10;2802
11;3022
12;2814
13;2911
14;2929
15;2813
16;3040
17;2861
18;2917
19;2922
20;2859
21;3056
22;2905
23;2889
24;2971
25;2918
26;3027
27;2914
28;2915
29;2936
30;2899
31;3024
32;2844
33;2924
34;2897
35;2857
36;2944
37;2891
38;2938
39;2908
40;2890
41;3022
42;2862
43;2934
44;2892
45;2843
46;3066
47;2819
48;3030
49;2893
50;2820
51;3020
52;2850
53;2970
54;2891
55;2860
56;3087
57;2866
58;2980
59;2905
60;2898
61;2999
62;2863
63;2883
64;2859
65;2791
66;3000
67;2879
68;2884
69;2988
70;2897
71;2966
72;2859
73;2929
74;2933
75;2836
76;3061
77;2875
78;2906
79;2909
80;2915
81;3090
82;2812
83;2939
84;2935
85;2904
86;3009
87;2830
88;2724
89;2171
90;905
91;479
Nodes
Class Name; Name; Remaining Battery;Number of Received Messages;Number of Sent Messages;Number of Enqueued Events; Number of Sensored Events; Time of Death
eboracum.wsn.network.node.sensor.controlled.PSControlledWSNNode;Node0;0;109513;38473;0;8679;7553267.8
eboracum.wsn.network.node.sensor.controlled.PSControlledWSNNode;Node1;0;193514;80670;0;7203;7799013.510001
eboracum.wsn.network.node.sensor.controlled.PSControlledWSNNode;Node2;0;414992;121904;1;2095;8650099.941335
eboracum.wsn.network.node.sensor.controlled.PSControlledWSNNode;Node3;0;288254;295183;0;6930;7843226.530003
eboracum.wsn.network.node.sensor.controlled.PSControlledWSNNode;Node4;0;417336;129272;0;7072;7820555.107334
eboracum.wsn.network.node.sensor.controlled.PSControlledWSNNode;Node5;0;209183;84378;0;4467;8254991.512001
eboracum.wsn.network.node.sensor.controlled.PSControlledWSNNode;Node6;0;118476;40610;0;5956;8007087.939333
eboracum.wsn.network.node.sensor.controlled.PSControlledWSNNode;Node7;0;97472;31007;0;7019;7829978.148667
eboracum.wsn.network.node.sensor.controlled.PSControlledWSNNode;Node8;0;185535;37064;1;2345;8608941.776667
eboracum.wsn.network.node.sensor.controlled.PSControlledWSNNode;Node9;0;224171;39139;0;8073;7654261.768
eboracum.wsn.network.node.sensor.controlled.PSControlledWSNNode;Node10;0;402260;38907;0;7947;7675263.14
eboracum.wsn.network.node.sensor.controlled.PSControlledWSNNode;Node11;0;242201;39728;1;5007;8165258.264
eboracum.wsn.network.node.sensor.controlled.PSControlledWSNNode;Node12;0;186953;39301;0;7853;7690927.346667
eboracum.wsn.network.node.sensor.controlled.PSControlledWSNNode;Node13;0;107323;34654;0;7190;7801456.376667
eboracum.wsn.network.node.sensor.controlled.PSControlledWSNNode;Node14;0;89428;25877;1;2175;8637342.766
eboracum.wsn.network.node.sensor.controlled.PSControlledWSNNode;Node15;0;116350;34719;0;7900;7683121.613333
eboracum.wsn.network.node.sensor.controlled.PSControlledWSNNode;Node16;0;128009;31148;0;7954;7674143.023333
eboracum.wsn.network.node.sensor.controlled.PSControlledWSNNode;Node17;0;131792;32161;1;5145;8142303.466
eboracum.wsn.network.node.sensor.controlled.PSControlledWSNNode;Node18;0;127820;34721;0;7935;7677287.846
eboracum.wsn.network.node.sensor.controlled.PSControlledWSNNode;Node19;0;124631;31448;0;7896;7683807.69
eboracum.wsn.network.node.sensor.controlled.PSControlledWSNNode;Node20;0;90048;28438;0;4492;8251160.279333
eboracum.wsn.network.node.sensor.controlled.PSControlledWSNNode;Node21;0;67609;23702;0;6934;7844188.757333
eboracum.wsn.network.node.sensor.controlled.PSControlledWSNNode;Node22;0;99990;26819;0;8064;7655835.674
eboracum.wsn.network.node.sensor.controlled.PSControlledWSNNode;Node23;0;104258;24379;0;5104;8149183.495333
eboracum.wsn.network.node.sensor.controlled.PSControlledWSNNode;Node24;0;99727;27016;0;8075;7654000.754667
eboracum.wsn.network.node.sensor.controlled.PSControlledWSNNode;Node25;0;104015;26786;0;8002;7666168.787333
eboracum.wsn.network.node.sensor.controlled.PSControlledWSNNode;Node26;0;101689;24609;1;5100;8149848.982
eboracum.wsn.network.node.sensor.controlled.PSControlledWSNNode;Node27;0;68219;23946;0;7021;7829686.971333
eboracum.wsn.network.node.sensor.controlled.PSControlledWSNNode;Node28;0;52288;16768;1;7160;7806563.462667
eboracum.wsn.network.node.sensor.controlled.PSControlledWSNNode;Node29;0;77778;19913;0;4997;8167043.828666
eboracum.wsn.network.node.sensor.controlled.PSControlledWSNNode;Node30;0;72477;19275;0;7867;7688713.855333
eboracum.wsn.network.node.sensor.controlled.PSControlledWSNNode;Node31;0;76076;18983;0;7979;7670048.938666
eboracum.wsn.network.node.sensor.controlled.PSControlledWSNNode;Node32;0;80129;19967;1;5116;8147209.959333
eboracum.wsn.network.node.sensor.controlled.PSControlledWSNNode;Node33;0;70417;19509;0;7991;7668045.890666
eboracum.wsn.network.node.sensor.controlled.PSControlledWSNNode;Node34;0;53232;16925;1;7148;7808562.634667
eboracum.wsn.network.node.sensor.controlled.PSControlledWSNNode;Node35;0;37743;10528;1;4469;8255101.282666
eboracum.wsn.network.node.sensor.controlled.PSControlledWSNNode;Node36;0;46669;14916;0;7934;7677573.662666
eboracum.wsn.network.node.sensor.controlled.PSControlledWSNNode;Node37;0;48695;11408;0;7931;7678094.596666
eboracum.wsn.network.node.sensor.controlled.PSControlledWSNNode;Node38;0;52288;12143;1;5097;8150423.78
eboracum.wsn.network.node.sensor.controlled.PSControlledWSNNode;Node39;0;48472;14851;1;7812;7697907.164
eboracum.wsn.network.node.sensor.controlled.PSControlledWSNNode;Node40;0;47477;11518;0;7993;7667760.815333
eboracum.wsn.network.node.sensor.controlled.PSControlledWSNNode;Node41;0;34587;10659;1;4515;8247433.84
eboracum.wsn.network.node.sensor.controlled.PSControlledWSNNode;Node42;0;17082;6059;0;6059;7990128.580666
eboracum.wsn.network.node.sensor.controlled.PSControlledWSNNode;Node43;0;24613;7138;1;7138;7810288.135333
eboracum.wsn.network.node.sensor.controlled.PSControlledWSNNode;Node44;0;25592;4557;1;4557;8240470.236
eboracum.wsn.network.node.sensor.controlled.PSControlledWSNNode;Node45;0;22004;7046;0;7046;7825621.704666
eboracum.wsn.network.node.sensor.controlled.PSControlledWSNNode;Node46;0;25602;7099;0;7099;7816788.267333
eboracum.wsn.network.node.sensor.controlled.PSControlledWSNNode;Node47;0;24761;4500;0;4500;8249970.796
eboracum.wsn.network.node.sensor.controlled.PSControlledWSNNode;Node48;0;13938;6144;0;6144;7975961.392
Events
Class Name; Name; Type; Number of Produced Events; Number of Times Sensed
eboracum.wsn.event.StochasticPeriodicJumperEvent;E0_0;E0;404077;0
