Simulation Total Time;662888
Total Number of Sensed Events by the WSN;22859
Number of Sensed Events by the WSN per Day
1;3078
2;3067
3;3079
4;3120
5;3096
6;3046
7;3045
8;1328
Nodes
Class Name; Name; Remaining Battery;Number of Received Messages;Number of Sent Messages;Number of Enqueued Events; Number of Sensored Events; Time of Death
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node0;0;13410;4554;0;506;660145,048295
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node1;0;22783;9361;0;665;656964,835121
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node2;0;45696;14086;0;691;653838,873805
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node3;0;31645;32301;0;657;641788,2147
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node4;0;45810;14129;0;621;653810,427174
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node5;0;23002;9514;1;641;656863,614111
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node6;0;13736;4841;0;620;659955,175595
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node7;0;12108;4050;0;692;660478,480279
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node8;0;20977;4195;0;745;660382,548032
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node9;0;25779;4118;0;721;660433,489942
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node10;0;43912;4101;0;694;660444,737368
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node11;0;25709;4085;0;693;660455,322774
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node12;0;21215;4087;0;697;660453,999947
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node13;0;12483;4226;0;671;660362,043537
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node14;0;10200;3364;0;669;660932,323374
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node15;0;13684;3454;0;727;660872,777953
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node16;0;13703;3399;0;678;660909,165568
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node17;0;13625;3410;0;678;660901,8888
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node18;0;13613;3393;0;667;660913,135705
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node19;0;13719;3392;0;708;660913,797142
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node20;0;10481;3555;0;692;660805,961984
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node21;0;8087;2696;0;703;661374,258411
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node22;0;10936;2730;0;665;661351,762579
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node23;0;10936;2721;0;649;661357,717358
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node24;0;10937;2735;0;658;661348,455568
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node25;0;10862;2729;0;680;661352,424568
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node26;0;11028;2685;0;643;661381,534389
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node27;0;8460;2865;0;645;661262,452879
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node28;0;6087;1994;0;671;661838,687037
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node29;0;8213;2068;0;653;661789,728063
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node30;0;8253;2074;0;689;661785,758526
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node31;0;8241;2079;0;700;661782,450142
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node32;0;8206;2053;0;700;661799,651368
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node33;0;8325;2045;0;680;661804,9443
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node34;0;6475;2222;0;657;661687,847874
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node35;0;4047;1324;0;687;662281,945011
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node36;0;5473;1416;0;722;662221,076558
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node37;0;5564;1388;0;698;662239,600263
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node38;0;5481;1384;0;724;662242,246895
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node39;0;5484;1354;0;674;662262,095495
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node40;0;5645;1367;0;686;662253,4944
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node41;0;4459;1565;0;693;662122,504926
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node42;0;2020;637;0;637;662736,451911
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node43;0;2744;696;0;696;662697,415879
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node44;0;2744;691;0;691;662700,724342
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node45;0;2756;660;0;660;662721,233968
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node46;0;2695;681;0;681;662707,340826
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node47;0;2923;681;0;681;662707,340432
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node48;0;2246;875;0;875;662578,997005
Events
Class Name; Name; Type; Number of Produced Events; Number of Times Sensed
eboracum.wsn.event.StochasticPeriodicJumperEvent;E0_0;E0;24844;0
Simulation Total Time;662851
Total Number of Sensed Events by the WSN;23131
Number of Sensed Events by the WSN per Day
1;3129
2;3085
3;3099
4;3133
5;3132
6;3127
7;3094
8;1332
Nodes
Class Name; Name; Remaining Battery;Number of Received Messages;Number of Sent Messages;Number of Enqueued Events; Number of Sensored Events; Time of Death
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node0;0;13405;4529;0;562;660161,586758
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node1;0;22944;9438;0;678;656913,893558
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node2;0;46383;14183;0;662;653774,701911
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node3;0;32217;32862;0;646;641417,068705
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node4;0;46649;14487;0;700;653573,580158
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node5;0;23376;9582;0;693;656818,625716
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node6;0;13862;4922;0;642;659901,586658
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node7;0;12089;3968;0;680;660532,730274
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node8;0;21158;4272;0;695;660331,607779
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node9;0;26199;4175;0;673;660395,781474
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node10;0;44856;4242;0;714;660351,455037
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node11;0;26335;4291;0;697;660319,037495
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node12;0;21512;4012;0;657;660503,618889
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node13;0;12518;4284;0;700;660323,671579
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node14;0;10194;3289;0;641;660981,943042
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node15;0;13953;3578;0;689;660790,743647
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node16;0;14054;3505;0;736;660839,0382
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node17;0;14177;3532;0;699;660821,175726
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node18;0;14072;3599;0;708;660776,850205
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node19;0;13893;3358;0;666;660936,290984
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node20;0;10545;3590;0;687;660782,807226
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node21;0;8148;2651;0;685;661404,029463
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node22;0;11169;2893;0;723;661243,924911
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node23;0;11303;2770;0;701;661325,299516
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node24;0;11305;2836;0;724;661281,634768
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node25;0;11293;2891;0;725;661245,247768
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node26;0;11155;2693;0;691;661376,240179
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node27;0;8510;2904;0;676;661236,6507
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node28;0;6101;1966;0;686;661857,211453
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node29;0;8421;2170;0;682;661722,246189
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node30;0;8428;2074;0;699;661785,757942
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node31;0;8494;2113;0;696;661759,956584
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node32;0;8433;2166;0;739;661724,891811
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node33;0;8374;2002;0;715;661833,391342
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node34;0;6462;2228;0;672;661683,877879
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node35;0;4109;1280;0;626;662311,054911
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node36;0;5562;1489;0;752;662172,7809
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node37;0;5657;1375;0;699;662248,201595
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node38;0;5613;1418;0;724;662219,753053
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node39;0;5519;1431;0;785;662211,151942
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node40;0;5601;1289;0;677;662305,097811
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node41;0;4376;1556;0;697;662128,458474
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node42;0;2017;655;0;655;662724,543363
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node43;0;2821;737;0;737;662670,290605
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node44;0;2806;677;0;677;662709,986542
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node45;0;2741;694;0;694;662698,740142
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node46;0;2738;646;0;646;662730,496516
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node47;0;2795;613;0;613;662752,328684
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node48;0;2169;860;0;860;662588,920958
Events
Class Name; Name; Type; Number of Produced Events; Number of Times Sensed
eboracum.wsn.event.StochasticPeriodicJumperEvent;E0_0;E0;25058;0
Simulation Total Time;662731
Total Number of Sensed Events by the WSN;22985
Number of Sensed Events by the WSN per Day
1;3118
2;3091
3;3119
4;3016
5;3077
6;3096
7;3113
8;1355
Nodes
Class Name; Name; Remaining Battery;Number of Received Messages;Number of Sent Messages;Number of Enqueued Events; Number of Sensored Events; Time of Death
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node0;0;13639;4665;0;508;660071,612984
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node1;0;23016;9481;0;658;656885,445979
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node2;0;46215;14192;0;670;653768,748174
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node3;0;32094;32692;0;599;641529,538058
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node4;0;46394;14375;0;674;653647,677868
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node5;0;23301;9578;0;652;656821,272426
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node6;0;13788;4824;0;615;659966,422595
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node7;0;12350;4162;0;690;660404,384132
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node8;0;21261;4213;0;710;660370,640874
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node9;0;25990;4116;0;713;660434,814158
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node10;0;44525;4182;0;695;660391,149853
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node11;0;26207;4231;0;734;660358,731411
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node12;0;21431;4153;0;744;660410,335311
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node13;0;12535;4213;0;656;660370,644363
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node14;0;10478;3472;0;660;660860,873605
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node15;0;13839;3504;0;757;660839,699511
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node16;0;13835;3407;0;683;660903,873711
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node17;0;13907;3491;0;673;660848,301237
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node18;0;13884;3500;0;748;660842,346063
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node19;0;13895;3411;0;728;660901,226068
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node20;0;10514;3559;0;669;660803,315668
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node21;0;8321;2815;0;717;661295,5299
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node22;0;11147;2751;0;649;661337,869674
