Simulation Total Time;23889784
Total Number of Sensed Events by the WSN;439
Number of Sensed Events by the WSN per Day
1;439
Nodes
Class Name; Name; Remaining Battery;Number of Received Messages;Number of Sent Messages;Number of Received Wake-up Messages;Number of Sent Wake-up Messages;Number of Received ACK Messages;Number of Enqueued Events; Number of Sensored Events; Time of Death
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node0;0;56;65;178;65;65;1;9;34496,722991
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node1;0;112;121;286;121;121;1;9;34378,264923
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node2;0;164;173;393;173;173;1;9;34266,260691
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node3;0;215;224;215;224;224;1;9;34176,677637
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node4;0;276;285;276;0;0;1;9;34347,71732
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node5;0;252;261;252;0;0;1;9;26117,070909
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node6;0;195;204;195;204;204;1;9;25980,575054
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node7;0;136;145;350;145;145;1;9;26076,118671
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node8;0;89;98;242;98;98;1;9;26188,545317
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node9;0;39;48;142;48;48;1;9;26282,406083
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node10;0;48;57;167;57;57;1;9;27633,154809
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node11;0;39;48;269;48;48;1;9;21295,598523
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node12;0;39;48;307;48;48;1;9;15274,990583
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node13;0;33;42;364;42;42;1;9;14785,636171
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node14;0;43;52;135;52;52;1;9;15192,690509
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node15;0;39;48;144;48;48;1;9;22872,579206
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node16;0;41;50;346;50;50;1;9;12777,911974
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node17;0;39;48;286;48;48;1;9;12326,220143
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node18;0;40;49;235;49;49;1;9;12592,183603
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node19;0;35;44;139;44;44;1;9;24978,952223
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node20;0;45;54;147;54;54;1;9;27640,513103
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node21;0;34;43;184;43;43;1;9;21340,206294
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node22;0;35;44;170;44;44;1;9;15302,545954
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node23;0;31;40;166;40;40;0;9;14790,100983
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node24;0;36;45;171;45;45;1;9;15231,432666
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node25;0;33;42;176;42;42;1;9;22884,484329
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node26;0;37;46;175;46;46;1;9;12809,496677
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node27;0;33;42;175;42;42;1;9;12339,008291
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node28;0;36;45;171;45;45;1;9;12618,668103
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node29;0;33;42;127;42;42;1;9;24993,118297
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node30;0;38;47;132;47;47;1;9;27655,321986
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node31;0;29;38;163;38;38;1;9;21344,838617
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node32;0;30;39;150;39;39;1;9;15306,156411
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node33;0;26;35;150;35;35;1;9;14791,648269
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node34;0;28;37;148;37;37;1;9;15233,375686
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node35;0;28;37;154;37;37;1;9;22894,886957
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node36;0;32;41;156;41;41;1;9;12800,117146
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node37;0;27;36;153;36;36;1;9;12337,704074
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node38;0;29;38;152;38;38;1;9;12627,505443
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node39;0;29;38;111;38;38;1;9;25011,561509
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node40;0;31;40;116;40;40;1;9;27669,13186
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node41;0;25;34;141;34;34;1;9;21358,369383
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node42;0;24;33;135;33;33;1;9;15313,868654
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node43;0;25;34;129;34;34;1;9;14813,764757
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node44;0;22;31;132;31;31;1;9;13501,22334
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node45;0;25;34;133;34;34;1;9;22946,144794
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node46;0;28;37;139;37;37;1;9;12820,559851
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node47;0;23;32;132;32;32;1;9;12343,246329
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node48;0;24;33;130;33;33;1;9;12652,052251
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node49;0;22;31;100;31;31;1;9;24978,647449
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node50;0;26;35;99;35;35;1;9;27681,716486
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node51;0;21;30;122;30;30;1;9;21376,757437
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node52;0;19;28;119;28;28;1;9;15319,447557
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node53;0;21;30;112;30;30;1;9;14831,2248
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node54;0;18;27;112;27;27;1;9;13508,696246
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node55;0;19;28;115;28;28;1;9;22958,843691
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node56;0;23;32;118;32;32;1;9;12837,142597
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node57;0;17;26;115;26;26;1;9;12356,8981
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node58;0;20;29;113;29;29;1;9;11870,616783
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node59;0;20;29;84;29;29;1;9;25005,881203
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node60;0;20;29;82;29;29;1;9;27694,414346
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node61;0;16;25;102;25;25;1;9;21393,316506
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node62;0;17;26;97;26;26;1;9;15339,662403
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node63;0;14;23;97;23;23;1;9;14832,147397
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node64;0;14;23;90;23;23;1;9;13518,200611
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node65;0;13;22;95;22;22;1;9;22973,544709
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node66;0;18;27;98;27;27;1;9;12847,730426
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node67;0;13;22;95;22;22;1;9;12378,363231
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node68;0;16;25;94;25;25;1;9;11893,041471
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node69;0;15;24;74;24;24;1;9;25040,189094
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node70;0;13;22;61;22;22;1;9;27708,229726
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node71;0;8;17;82;17;17;1;9;21397,352563
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node72;0;12;21;76;21;21;1;9;15349,264806
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node73;0;9;18;76;18;18;1;9;14859,622457
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node74;0;9;18;73;18;18;1;9;13542,727751
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node75;0;8;17;75;17;17;1;9;22958,32452
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node76;0;13;22;77;22;22;1;9;12861,319383
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node77;0;8;17;77;17;17;1;9;12384,007043
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node78;0;10;19;77;19;19;1;9;11897,776931
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node79;0;11;20;57;20;20;1;9;25046,734297
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node80;0;6;15;45;15;15;1;9;27725,039646
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node81;0;5;14;56;14;14;1;9;21388,164963
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node82;0;6;15;58;15;15;1;9;15370,946543
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node83;0;5;14;57;14;14;1;9;14849,23998
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node84;0;6;15;54;15;15;1;9;13540,160743
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node85;0;4;13;57;13;13;1;9;22961,022331
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node86;0;7;16;58;16;16;1;9;12880,018326
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node87;0;5;14;57;14;14;1;9;12397,307431
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node88;0;6;15;56;15;15;1;9;11912,232631
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node89;0;5;14;44;14;14;1;9;25056,549637
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node90;0;0;9;24;9;9;1;9;27737,741929
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node91;0;0;9;32;9;9;1;9;21429,2041
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node92;0;0;9;33;9;9;1;9;15383,65424
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node93;0;0;9;32;9;9;0;9;14881,68944
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node94;0;0;9;33;9;9;0;9;13565,790449
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node95;0;0;9;31;9;9;0;9;22999,08624
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node96;0;0;9;34;9;9;1;9;12894,838129
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node97;0;0;9;32;9;9;0;9;12415,87248
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node98;0;0;9;33;9;9;0;9;11929,91508
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node99;0;0;9;23;9;9;1;9;25074,940686
Events
Class Name; Name; Type; Number of Produced Events; Number of Times Sensed
eboracum.wsn.event.StochasticPeriodicJumperEvent;E0_0;E0;897897;0
Simulation Total Time;23889875
Total Number of Sensed Events by the WSN;439
Number of Sensed Events by the WSN per Day
1;439
Nodes
Class Name; Name; Remaining Battery;Number of Received Messages;Number of Sent Messages;Number of Received Wake-up Messages;Number of Sent Wake-up Messages;Number of Received ACK Messages;Number of Enqueued Events; Number of Sensored Events; Time of Death
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node0;0;62;71;187;71;71;1;9;42881,409794
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node1;0;114;123;299;123;123;1;9;42768,400149
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node2;0;170;179;400;179;179;1;9;42645,949797
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node3;0;218;227;218;227;227;1;9;42564,710686
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node4;0;282;291;282;0;0;1;9;42733,407691
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node5;0;252;261;252;0;0;1;9;24893,161983
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node6;0;194;203;194;203;203;1;9;24758,780446
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node7;0;136;145;348;145;145;1;9;24865,181946
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node8;0;90;99;244;99;99;1;9;24967,50334
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node9;0;41;50;146;50;50;1;9;25067,201014
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node10;0;55;64;179;64;64;1;9;42895,211006
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node11;0;40;49;281;49;49;1;9;18085,715069
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node12;0;41;50;311;50;50;1;9;14042,839129
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node13;0;30;39;369;39;39;1;9;9236,464291
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node14;0;46;55;137;55;55;1;9;19930,997094
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node15;0;40;49;147;49;49;1;9;14476,07398
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node16;0;40;49;341;49;49;1;9;17349,662731
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node17;0;37;46;283;46;46;1;9;13461,3933
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node18;0;40;49;235;49;49;1;9;14898,970334
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node19;0;38;47;143;47;47;1;9;25063,533491
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node20;0;50;59;158;59;59;1;9;42906,8001
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node21;0;35;44;190;44;44;1;9;18133,321866
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node22;0;35;44;168;44;44;1;9;14058,637694
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node23;0;28;37;164;37;37;1;9;7072,009697
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node24;0;40;49;177;49;49;1;9;19971,617229
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node25;0;34;43;178;43;43;1;9;14521,707677
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node26;0;34;43;172;43;43;1;9;17378,510906
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node27;0;31;40;168;40;40;1;9;13064,245869
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node28;0;34;43;170;43;43;1;9;14917,703894
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node29;0;35;44;127;44;44;0;9;25087,85824
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node30;0;41;50;140;50;50;1;9;42924,838609
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node31;0;29;38;165;38;38;1;9;18126,10398
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node32;0;28;37;147;37;37;1;9;14068,452937
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node33;0;23;32;142;32;32;1;9;7095,591883
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node34;0;33;42;158;42;42;1;9;19972,437494
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node35;0;28;37;157;37;37;1;9;14520,445434
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node36;0;31;40;148;40;40;1;9;17395,860111
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node37;0;27;36;148;36;36;1;9;13093,704717
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node38;0;28;37;148;37;37;1;9;14936,401134
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node39;0;28;37;115;37;37;1;9;25085,741691
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node40;0;34;43;121;43;43;1;9;42942,651777
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node41;0;25;34;144;34;34;1;9;18123,635423
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node42;0;24;33;124;33;33;1;9;14065,958729
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node43;0;17;26;129;26;26;1;9;693583,163563
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node44;0;31;40;132;40;40;1;9;19991,685111
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node45;0;23;32;139;32;32;1;9;14513,0814
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node46;0;23;32;132;32;32;1;9;17408,811237
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node47;0;22;31;127;31;31;1;9;13095,334366
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node48;0;23;32;130;32;32;1;9;14940,988386
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node49;0;25;34;99;34;34;1;9;25095,05308
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node50;0;28;37;104;37;37;1;9;42955,349591
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node51;0;21;30;123;30;30;1;9;18158,976763
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node52;0;18;27;112;27;27;1;9;14072,660306
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node53;0;15;24;106;24;24;1;9;680541,397674
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node54;0;23;32;120;32;32;1;9;19999,611466
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node55;0;21;30;118;30;30;1;9;14540,314329
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node56;0;20;29;110;29;29;1;9;17419,179746
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node57;0;18;27;114;27;27;1;9;13120,714626
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node58;0;19;28;113;28;28;1;9;14941,516591
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node59;0;21;30;87;30;30;1;9;25112,496177
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node60;0;22;31;87;31;31;1;9;42968,047406
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node61;0;16;25;107;25;25;1;9;18159,596169
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node62;0;16;25;92;25;25;1;9;14082,888483
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node63;0;12;21;92;21;21;1;9;9113,725569
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node64;0;17;26;98;26;26;1;9;20020,307117
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node65;0;16;25;97;25;25;1;9;14534,954826
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node66;0;12;21;98;21;21;1;9;17431,078477
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node67;0;17;26;89;26;26;1;9;13137,832863
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node68;0;15;24;97;24;24;1;9;14957,943414
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node69;0;16;25;75;25;25;1;9;25111,201063
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node70;0;16;25;69;25;25;1;9;42981,746394
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node71;0;12;21;85;21;21;1;9;18178,062414
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node72;0;10;19;77;19;19;1;9;14090,668994
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node73;0;8;17;74;17;17;1;9;7114,405434
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node74;0;11;20;78;20;20;1;9;20019,101066
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node75;0;11;20;77;20;20;1;9;10859,716371
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node76;0;9;18;70;18;18;0;9;17431,50658
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node77;0;8;17;77;17;17;1;9;13139,9266
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node78;0;9;18;76;18;18;1;9;14977,63856
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node79;0;12;21;56;21;21;1;9;25138,539557
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node80;0;8;17;50;17;17;1;9;42998,672843
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node81;0;7;16;61;16;16;1;9;18184,691511
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node82;0;5;14;58;14;14;1;9;14112,341243
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node83;0;5;14;55;14;14;1;9;757129,729226
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node84;0;6;15;57;15;15;1;9;20044,597091
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node85;0;5;14;56;14;14;1;9;10879,39682
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node86;0;3;12;56;12;12;1;9;12813,744463
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node87;0;6;15;52;15;15;1;9;13158,141237
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node88;0;5;14;55;14;14;1;9;14969,407657
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node89;0;4;13;44;13;13;1;9;25142,752934
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node90;0;0;9;26;9;9;0;9;43015,604751
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node91;0;0;9;34;9;9;0;9;18209,446549
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node92;0;0;9;32;9;9;1;9;14132,748254
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node93;0;0;9;32;9;9;0;9;6357,329149
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node94;0;0;9;33;9;9;1;9;20056,302623
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node95;0;0;9;32;9;9;0;9;10890,989163
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node96;0;0;9;30;9;9;1;9;12834,84352
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node97;0;0;9;33;9;9;1;9;13173,81632
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node98;0;0;9;32;9;9;0;9;15003,684709
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node99;0;0;9;22;9;9;1;9;25163,935231
Events
Class Name; Name; Type; Number of Produced Events; Number of Times Sensed
eboracum.wsn.event.StochasticPeriodicJumperEvent;E0_0;E0;899365;0
